Applicant Name,Funding Band,Alternative Name,Web address,Discipline,Notes,Area,ACE Region,ONS Region,Local Authority
English Stage Company Limited,3,,http://www.royalcourttheatre.com,Theatre,,London,London,London,Kensington and Chelsea
English Touring Opera Ltd,3,,http://www.englishtouringopera.org.uk,Music,,London,London,London,Islington
English Touring Theatre Ltd,2,,http://www.ett.org.uk,Theatre,,London,London,London,Southwark
Entelechy Arts Ltd,1,,http://www.entelechyarts.org,Combined arts,,London,London,London,Lewisham
Essex Cultural Diversity Project,1,,http://www.essexcdp.com,Combined arts,,South East,East,East of England,Chelmsford
Ex Cathedra Ltd,1,,http://www.excathedra.co.uk,Music,,Midlands,West Midlands,West Midlands,Birmingham
Exeter City Council,2,,http://www.rammuseum.org.uk,Museums,"Uplift and Technical Reduction. Exeter City Council has received an uplift. It is the lead partner of a 2015-2018 consortium and a partner is no longer part of the consortium for 2018-2022, the technical reduction relates to the lost allocation of the previous partner, plus the awarded uplift.",South West,South West,South West,Exeter
Exeter Northcott Theatre,1,,https://exeternorthcott.co.uk/,Theatre,,South West,South West,South West,Exeter
Exeter Phoenix,1,,http://www.exeterphoenix.org.uk,Combined arts,,South West,South West,South West,Exeter
Extant,1,,http://www.extant.org.uk,Theatre,,London,London,London,Lambeth
Eye Music Trust,1,,http://www.eyemusic.org.uk/,Music,,London,London,London,Croydon
Fabrica,1,,http://www.fabrica.org.uk,Visual arts,,South East,South East,South East,Brighton and Hove
FACT,3,FOUNDATION FOR ART & CREATIVE TECHNOLOGY,http://www.fact.co.uk/,Visual arts,,North,North West,North West,Liverpool
Farnham Maltings Association,2,,http://www.farnhammaltings.com,Combined arts,,South East,South East,South East,Waverley
Fevered Sleep,1,,http://www.feveredsleep.co.uk/,Theatre,,London,London,London,Hackney
FIERCE! Festival,1,Fierce! (Festival) Limited,http://wearefierce.org,Combined arts,,Midlands,West Midlands,West Midlands,Birmingham
Film and Video Umbrella,2,,http://fvu.co.uk,Visual arts,,London,London,London,Southwark
Film London,2,,http://flamin.filmlondon.org.uk/,Visual arts,,London,London,London,Islington
Firstsite Ltd,2,,http://www.firstsite.uk.net,Visual arts,,South East,East,East of England,Colchester
Flatpack Projects,1,,http://www.flatpackfestival.org.uk,Combined arts,,Midlands,West Midlands,West Midlands,Birmingham
Focal Point Gallery,1,,http://www.fpg.org.uk,Visual arts,,South East,East,East of England,Southend-on-Sea
Forced Entertainment Ltd,1,,http://www.forcedentertainment.com,Theatre,,North,Yorkshire,Yorkshire and The Humber,Sheffield
Forma Arts and Media Limited,2,,http://www.forma.org.uk,Visual arts,,London,London,London,Tower Hamlets
Forward Arts Foundation,1,,http://www.forwardartsfoundation.org,Literature,,London,London,London,Westminster
Foundation for Community Dance t/a People Dancing,1,,http://www.communitydance.org.uk,Dance,,Midlands,East Midlands,East Midlands,Leicester
Frantic Theatre Company Ltd,1,,http://www.franticassembly.co.uk,Theatre,,London,London,London,Camden
Free Word,1,,http://www.freewordcentre.com,Literature,,London,London,London,Islington
Freedom Festival Arts Trust,1,,http://www.freedomfestival.co.uk,Combined arts,,North,Yorkshire,Yorkshire and The Humber,"Kingston upon Hull, City of"
Freedom Studios,1,,http://www.freedomstudios.co.uk,Combined arts,,North,Yorkshire,Yorkshire and The Humber,Bradford
Friction Arts,1,,http://www.frictionarts.com,Combined arts,,Midlands,West Midlands,West Midlands,Birmingham
Fuel Productions,1,,http://www.fueltheatre.com,Theatre,,London,London,London,Westminster
Furtherfield.org,1,,http://www.furtherfield.org,Visual arts,,London,London,London,Haringey
Future Everything CIC,1,,http://futureeverything.org,Combined arts,,North,North West,North West,Manchester
Gecko Theatre,1,,http://geckotheatre.com/,Theatre,,South East,East,East of England,Ipswich
Gem Arts,1,GemArts,http://www.gemarts.org,Combined arts,,North,North East,North East,Gateshead
Generator North East,1,,http://www.generator.org.uk,Music,,North,North East,North East,Newcastle upon Tyne
Global Grooves,1,,http://www.globalgrooves.org,Combined arts,,North,North West,North West,Tameside
Gloucestershire Everyman Theatre Ltd,2,,http://everymantheatre.org.uk,Combined arts,,South West,South West,South West,Cheltenham
Glyndebourne Productions Ltd,3,,http://www.glyndebourne.com,Music,,South East,South East,South East,Lewes
Goole Town Council,1,,http://www.junctiongoole.co.uk,Combined arts,,North,Yorkshire,Yorkshire and The Humber,East Riding of Yorkshire
Graeae Theatre Company Ltd,2,,http://www.graeae.org,Theatre,,London,London,London,Hackney
Grand Union,1,Grand Union Studios Ltd,http://www.grand-union.org.uk,Visual arts,,Midlands,West Midlands,West Midlands,Birmingham
Great Georges Community Cultural Project Ltd,1,THE BLACK-E,http://www.theblack-e.co.uk,Combined arts,,North,North West,North West,Liverpool
Greater Manchester Arts Centre Ltd,3,,http://HOMEMCR.org,Combined arts,,North,North West,North West,Manchester
Greenwich+Docklands Festivals,1,,http://www.festival.org,Combined arts,,London,London,London,Greenwich
Grimm & Co,1,,http://www.grimmandco.co.uk,Literature,,North,Yorkshire,Yorkshire and The Humber,Rotherham
Grizedale Arts,1,,http://www.grizedale.org/,Visual arts,,North,North West,North West,South Lakeland
Grundy Art Gallery,1,Blackpool Council,http://www.grundyartgallery.com,Visual arts,,North,North West,North West,Blackpool
Gulbenkian Theatre,2,University of Kent,http://www.thegulbenkian.co.uk,Combined arts,,South East,South East,South East,Canterbury
hÅb,1,Habarts Limited trading as hÅb,http://habarts.org,Combined arts,,North,North West,North West,Manchester
Hackney Empire Ltd,2,,http://www.hackneyempire.co.uk,Theatre,,London,London,London,Hackney
Half Moon Young People's Theatre,1,,http://www.halfmoon.org.uk,Theatre,,London,London,London,Tower Hamlets
Halle Concerts Society,3,,http://www.halle.co.uk,Music,,North,North West,North West,Manchester
Hampstead Theatre Ltd,2,,http://hampsteadtheatre.com,Theatre,,London,London,London,Camden
Harrogate Theatre,1,Harrogate (White Rose) Theatre Trust Ltd.,http://www.harrogatetheatre.co.uk,Theatre,,North,Yorkshire,Yorkshire and The Humber,Harrogate
Havering Theatre Trust,2,,http://www.queens-theatre.co.uk,Theatre,,London,London,London,Havering
Headlong Theatre Ltd,2,,https://headlong.co.uk/,Theatre,,London,London,London,Southwark
Heads Together Productions Limited,1,,http://www.chapelfm.co.uk,Combined arts,,North,Yorkshire,Yorkshire and The Humber,Leeds
Heart n Soul,2,,http://www.heartnsoul.co.uk,Combined arts,,London,London,London,Lewisham
Heart of Glass,2,Heart of Glass St Helens Limited ,http://www.heartofglass.org.uk,Combined arts,,North,North West,North West,St. Helens
Helix Arts Ltd,1,,http://www.helixarts.com,Combined arts,,North,North East,North East,Newcastle upon Tyne
Higher Rhythm Ltd,1,,http://www.higherrhythm.co.uk,Music,,North,Yorkshire,Yorkshire and The Humber,Doncaster
Highlights Productions,1,,http://www.highlightsnorth.co.uk,Combined arts,,North,North West,North West,Eden
HighTide Festival Productions LTD,1,,http://www.hightide.org.uk,Theatre,,South East,East,East of England,Suffolk Coastal
Hofesh Shechter Company,2,,http://www.hofesh.co.uk,Dance,,South East,South East,South East,Brighton and Hove
Home Live Art,1,,http://www.homeliveart.com,Combined arts,,South East,South East,South East,Hastings
Homotopia Limited,1,,http://www.homotopia.net,Combined arts,,North,North West,North West,Liverpool
Hoot Creative Arts,1,,http://www.hootcreativearts.co.uk,Music,,North,Yorkshire,Yorkshire and The Humber,Kirklees
Horniman Museum and Gardens,2,The Horniman Public Museum and Public Park Trust,http://www.horniman.ac.uk,Museums,,London,London,London,Lewisham
Hounslow Arts Trust Ltd,1,,http://www.watermans.org.uk,Combined arts,,London,London,London,Hounslow
Huddersfield Contemporary Music Festival,1,,http://www.hcmf.co.uk,Music,,North,Yorkshire,Yorkshire and The Humber,Kirklees
Hull City Council,2,,http://www.hull.gov.uk,Museums,,North,Yorkshire,Yorkshire and The Humber,"Kingston upon Hull, City of"
Hull Truck Theatre,2,Hull Truck Theatre Company Limited,http://www.hulltruck.co.uk,Theatre,,North,Yorkshire,Yorkshire and The Humber,"Kingston upon Hull, City of"
Ikon Gallery,3,,http://www.ikon-gallery.org,Visual arts,,Midlands,West Midlands,West Midlands,Birmingham
Ilkley Literature Festival Ltd,1,,http://www.ilkleyliteraturefestival.org.uk,Literature,,North,Yorkshire,Yorkshire and The Humber,Bradford
ILUVLIVE,1,,http://www.iluvlive.co.uk,Music,,London,London,London,Lambeth
imitating the dog,1,,http://www.imitatingthedog.co.uk,Theatre,,North,Yorkshire,Yorkshire and The Humber,Harrogate
Impressions Gallery of Photography Limited,1,,http://www.impressions-gallery.com,Visual arts,,North,Yorkshire,Yorkshire and The Humber,Bradford
Improbable,1,,http://www.improbable.co.uk,Theatre,,London,London,London,Westminster
In Between Time,1,,http://inbetweentime.co.uk,Combined arts,,South West,South West,South West,"Bristol, City of"
Index on Censorship,SSO,Writers and Scholars International Limited,http://indexoncensorship.org,Literature,,National,London,London,Westminster
Inner City Music Ltd,1,,http://bandonthewall.org,Music,,North,North West,North West,Manchester
Inpress Ltd,SSO,,http://www.inpressbooks.co.uk,Literature,,National,North East,North East,Newcastle upon Tyne
In-Situ,1,In-Situ-In-Place,http://www.in-situ.org.uk,Visual arts,,North,North West,North West,Pendle
Institute of Contemporary Arts,2,Institute of Contemporary Arts Ltd,http://www.ica.org.uk,Visual arts,,London,London,London,Westminster
Institute of Fundraising,SSO,,http://www.institute-of-fundraising.org.uk/home/,Not discipline specific,,National,London,London,Westminster
Institute of International Visual Arts,1,,http://www.iniva.org,Visual arts,,London,London,London,Hackney
International Curators Forum,1,,http://internationalcuratorsforum.org,Visual arts,,London,London,London,Wandsworth
Interplay Theatre Trust,1,,http://www.interplaytheatre.co.uk,Theatre,,North,Yorkshire,Yorkshire and The Humber,Leeds
Intoart,1,Intoart Projects,http://www.intoart.org.uk,Visual arts,,London,London,London,Lambeth
Invisible Dust,1,,http://www.invisibledust.com,Visual arts,,North,Yorkshire,Yorkshire and The Humber,Scarborough
Invisible Flock Co,1,,http://invisibleflock.com,Combined arts,,North,Yorkshire,Yorkshire and The Humber,Leeds
IOU Ltd,1,,http://www.ioutheatre.org,Theatre,,North,Yorkshire,Yorkshire and The Humber,Calderdale
Ironbridge Gorge Museum Trust,2,,http://www.ironbridge.org.uk,Museums,,Midlands,West Midlands,West Midlands,Telford and Wrekin
Ironbridge Gorge Museum Trust,SSO,,http://www.ironbridge.org.uk,Museums,"Museum Development allocations are based on a national formula, which is calculated on the number of museums in each region. The technical uplift is as a result of rounding up.",Midlands,West Midlands,West Midlands,Telford and Wrekin
ISAN,SSO,Independent Street Arts Network,http://www.isanuk.org,Combined arts,,National,London,London,Camden
Jacksons Lane,1,,http://www.jacksonslane.org.uk,Combined arts,,London,London,London,Haringey
Jasmin Vardimon Dance Company,2,,http://www.jasminvardimon.com,Dance,,South East,South East,South East,Ashford
Jazz North,SSO,,http://www.jazznorth.org,Music,,North,Yorkshire,Yorkshire and The Humber,Doncaster
Jazz re:freshed,1,,http://www.jazzrefreshed.com,Music,,London,London,London,Lewisham
Jerwood Gallery,1,,http://www.jerwoodgallery.org,Visual arts,,South East,South East,South East,Hastings
Jewish Museum London,1,,http://www.jewishmuseum.org.uk/,Museums,,London,London,London,Camden
J-Night,1,,http://www.jnight.org,Music,,North,Yorkshire,Yorkshire and The Humber,York
John Hansard Gallery,2,,http://www.hansardgallery.org.uk,Visual arts,,South West,South West,South East,Southampton
Junction Arts Limited,1,,http://www.junctionarts.org,Combined arts,,Midlands,East Midlands,East Midlands,Chesterfield
Junction CDC Ltd,2,,http://www.junction.co.uk,Combined arts,,South East,East,East of England,Cambridge
Kala Sangam - The Academy of South Asian Performing Arts,1,,http://www.kalasangam.org/,Combined arts,,North,Yorkshire,Yorkshire and The Humber,Bradford
Kaleider Limited,1,,http://www.kaleider.com,Theatre,,South West,South West,South West,Exeter
Kali Theatre Co.,1,,http://www.kalitheatre.co.uk,Theatre,,London,London,London,Lewisham
KARST,1,,http://www.karst.org.uk,Visual arts,,South West,South West,South West,Plymouth
Kendal Brewery Arts Centre,2,,http://www.breweryarts.co.uk,Combined arts,,North,North West,North West,South Lakeland
Kettle's Yard,2,University of Cambridge (Kettle's Yard),http://kettlesyard.co.uk,Visual arts,"Technical Uplift - For 2015-2018, Kettle's Yard is an National Portfolio Organisation and is a partner of a Major Partner Museum consortium. For 2018-2022, the technical uplift is a consolidation of their NPO and consortium allocation.",South East,East,East of England,Cambridge
Kids in Museums,SSO,,http://www.kidsinmuseums.org.uk,Museums,,National,London,London,Southwark
Kinetika Bloco,1,,http://www.kinetikabloco.co.uk,Combined arts,,London,London,London,Lambeth
Kinetika People,1,,http://www.kinetikaonline.co.uk,Combined arts,,South East,East,East of England,Thurrock
Kirklees Theatre Trust,1,,http://www.thelbt.org,Theatre,,North,Yorkshire,Yorkshire and The Humber,Kirklees
Kneehigh Theatre Trust,2,,http://kneehigh.co.uk,Theatre,,South West,South West,South West,Cornwall
Knowle West Media Centre,1,,http://kwmc.org.uk,Combined arts,,South West,South West,South West,"Bristol, City of"
Koestler Trust,1,,http://www.koestlertrust.org.uk,Literature,,London,London,London,Hammersmith and Fulham
Lakes Arts Festivals Ltd,1,,http://www.comicartfestival.com,Combined arts,,North,North West,North West,South Lakeland
Lancaster Arts at Lancaster University,1,Lancaster University,http://www.lancasterarts.org,Combined arts,,North,North West,North West,Lancaster
Lapworth Museum of Geology,1,University of Birmingham,http://www.bham.ac.uk,Museums,,Midlands,West Midlands,West Midlands,Birmingham
Ledbury Poetry Festival,1,,http://www.poetry-festival.co.uk,Literature,,Midlands,West Midlands,West Midlands,"Herefordshire, County of"
Leeds Museums and Galleries,3,Leeds City Council,http://www.leeds.gov.uk/museumsandgalleries,Museums,,North,Yorkshire,Yorkshire and The Humber,Leeds
Leeds Theatre Trust Limited,3,,http://www.wyp.org.uk,Theatre,,North,Yorkshire,Yorkshire and The Humber,Leeds
Leicester Arts Centre Limited,1,,http://www.phoenix.org.uk,Combined arts,,Midlands,East Midlands,East Midlands,Leicester
Leicester City Council,2,,https://www.leicester.gov.uk/leisure-and-culture/museums-and-galleries,Museums,,Midlands,East Midlands,East Midlands,Leicester
Leicester Dance Theatre Limited,2,,http://www.aakashodedra.com,Dance,,Midlands,East Midlands,East Midlands,Leicester
Leicester Print Workshop,1,Leicester Print Workshop Studios and Resource,http://www.leicesterprintworkshop.com,Visual arts,,Midlands,East Midlands,East Midlands,Leicester
Leicester Theatre Trust Ltd,3,,http://www.curveonline.co.uk,Theatre,,Midlands,East Midlands,East Midlands,Leicester
Leicestershire County Council,SSO,,http://WWW.LEICS.GOV.UK,Museums,Museum Development,Midlands,East Midlands,East Midlands,Blaby
Level Centre Ltd,1,,http://www.levelcentre.com,Combined arts,,Midlands,East Midlands,East Midlands,Derbyshire Dales
Libraries Unlimited South West,1,,http://librariesunlimited.org.uk,Libraries,,South West,South West,South West,Exeter
Lighthouse Arts and Training Ltd,1,,http://www.lighthouse.org.uk,Visual arts,,South East,South East,South East,Brighton and Hove
Lincoln Arts Trust Limited,1,,http://www.lincolndrillhall.com,Combined arts,,Midlands,East Midlands,East Midlands,Lincoln
Lincolnshire County Council,1,,http://www.thecollectionmuseum.com,Visual arts,,Midlands,East Midlands,East Midlands,Lincoln
Literature Works,1,,http://www.literatureworks.org.uk,Literature,,South West,South West,South West,Plymouth
Littleworld Ltd t/a Horse and Bamboo Theatre,1,,http://www.horseandbamboo.org,Theatre,,North,North West,North West,Rossendale
Live & Local Ltd,2,,http://www.liveandlocal.org.uk,Combined arts,,Midlands,West Midlands,West Midlands,Warwick
Live Art Development Agency,1,,http://www.thisisliveart.co.uk,Combined arts,,London,London,London,Tower Hamlets
Live Theatre Winchester Trust,1,,http://www.hatfair.co.uk,Theatre,,South West,South West,South East,Winchester
Liverpool & Merseyside Theatres Trust Ltd,3,,http://www.everymanplayhouse.com,Theatre,,North,North West,North West,Liverpool
Liverpool Arab Arts Festival,1,,http://www.arabartsfestival.com,Combined arts,,North,North West,North West,Liverpool
Liverpool Biennial of Contemporary Art Ltd,2,,http://www.biennial.com,Visual arts,,North,North West,North West,Liverpool
Liverpool City Council Culture Liverpool,2,Liverpool City Council,http://www.cultureliverpool.co.uk,Combined arts,,North,North West,North West,Liverpool
London Arts in Health Forum,1,,http://www.lahf.org.uk,Not discipline specific,,London,London,London,Hackney
London Borough of Barking and Dagenham,1,,http://www.lbbd.gov.uk,Libraries,,London,London,London,Barking and Dagenham
London Borough of Waltham Forest - WILLIAM MORRIS GALLERY,1,London Borough of Waltham Forest,http://www.wmgallery.org.uk,Visual arts,,London,London,London,Waltham Forest
London International Festival of Theatre,2,,http://www.liftfestival.com,Theatre,,London,London,London,Tower Hamlets
London International Mime Festival,1,,http://www.mimelondon.com,Theatre,,London,London,London,Westminster
London Philharmonic Orchestra,3,,http://www.lpo.org.uk,Music,,London,London,London,Lambeth
London Print Studio Ltd,1,,http://www.londonprintstudio.org.uk,Visual arts,,London,London,London,Westminster
London Symphony Orchestra,3,,http://www.lso.co.uk,Music,,London,London,London,City of London
London Transport Museum,1,,http://www.ltmuseum.co.uk,Museums,,London,London,London,Westminster
Loud In Libraries CIC,1,,http://www.getitloudinlibraries.com,Music,,North,North West,North West,Wigan
Ludus Dance,1,,http://www.ludusdance.org,Dance,,North,North West,North West,Lancaster
Luton Carnival Arts Development Trust,1,,http://www.carnivalarts.org.uk,Combined arts,,South East,East,East of England,Luton
Luton Cultural Services Trust,1,,http://www.lutonculture.com,Museums,,South East,East,East of England,Luton
LUX,1,,http://www.lux.org.uk,Visual arts,,London,London,London,Camden
M6 THEATRE COMPANY LIMITED,1,,http://www.m6theatre.co.uk,Theatre,,North,North West,North West,Rochdale
Magna Vitae,1,,http://www.magnavitae.org,Combined arts,,Midlands,East Midlands,East Midlands,East Lindsey
Mahogany Community Ventures Limited,1,,http://www.mahoganycarnival.com,Combined arts,,London,London,London,Brent
Manchester Camerata Limited,1,,http://www.manchestercamerata.co.uk,Music,,North,North West,North West,Manchester
Manchester City Galleries,SSO,,http://www.manchestergalleries.org,Museums,Museum Development,North,North West,North West,Manchester
Manchester City Galleries,3,,http://www.manchestergalleries.org,Museums,,North,North West,North West,Manchester
Manchester Craft And Design,1,,http://www.craftanddesign.com,Visual arts,,North,North West,North West,Manchester
Manchester Jazz Festival,1,,http://www.manchesterjazz.com,Music,,North,North West,North West,Manchester
Manchester Jewish Museum,1,,http://www.manchesterjewishmuseum.com,Museums,,North,North West,North West,Manchester
Manchester Literature Festival,1,,http://www.manchesterliteraturefestival.co.uk,Literature,,North,North West,North West,Manchester
Manchester Young People's Theatre trading as Contact,2,,http://contactmcr.com,Theatre,,North,North West,North West,Manchester
Mandinga Arts,1,,http://www.mandingaarts.co.uk,Combined arts,,London,London,London,Lambeth
Matt's Gallery Ltd,1,,https://www.mattsgallery.org/,Visual arts,,London,London,London,Southwark
MAYK Theatre CIC,1,,http://www.mayk.org.uk,Theatre,,South West,South West,South West,"Bristol, City of"
Meadow Arts,1,,http://www.meadowarts.org,Visual arts,,Midlands,West Midlands,West Midlands,Shropshire
Mercury Musical Developments,SSO,,http://www.mercurymusicals.com,Theatre,,National,London,London,Camden
Metal Culture Ltd,2,,http://www.metalculture.com,Combined arts,,South East,East,East of England,Southend-on-Sea
Metro-Boulot-Dodo Limited,1,,http://www.metro-boulot-dodo.com,Combined arts,,Midlands,East Midlands,East Midlands,Leicester
MeWe Foundation,SSO,,http://www.mewe360.com,Not discipline specific,,National,London,London,Westminster
Middle Child,1,Middle Child Theatre Limited,http://www.middlechildtheatre.co.uk,Theatre,,North,Yorkshire,Yorkshire and The Humber,"Kingston upon Hull, City of"
Middlesbrough Town Hall,1,Middlesbrough Borough Council,http://www.middlesbroughtownhallonline.co.uk,Music,,North,North East,North East,Middlesbrough
Midlands Arts Centre,2,,http://www.macbirmingham.co.uk,Combined arts,,Midlands,West Midlands,West Midlands,Birmingham
MIF,3,Manchester International Festival,http://www.mif.co.uk,Combined arts,,North,North West,North West,Manchester
Mikron Theatre Company,1,,http://www.mikron.org.uk,Theatre,,North,Yorkshire,Yorkshire and The Humber,Kirklees
Milap Festival Trust,2,,http://www.milapfest.com,Combined arts,"Technical Reduction - Organisation is a National Youth Music Organisation (NYMOs). For 2015-2018, NYMOs were jointly funded by Department of Education and Arts Council England. For 2018-2022, NYMOs will receive their Arts Council England allocation as National Portfolio funding. NYMOs will receive their Department for Education funding via a restricted separate grant.",North,North West,North West,Liverpool
Milton Keynes Arts Centre LTD,1,,http://www.miltonkeynesartscentre.org,Visual arts,,South East,South East,South East,Milton Keynes
Mimbre,1,,http://www.mimbre.co.uk,Theatre,,London,London,London,Hackney
Mind the Gap,1,,http://www.mind-the-gap.org.uk,Theatre,,North,Yorkshire,Yorkshire and The Humber,Bradford
Miracle Theatre Trust Ltd,1,,http://www.miracletheatre.co.uk,Theatre,,South West,South West,South West,Cornwall
MK Gallery,2,,http://www.mkgallery.org,Visual arts,,South East,South East,South East,Milton Keynes
Modern Art Oxford,2,,http://www.modernartoxford.org.uk,Visual arts,,South East,South East,South East,Oxford
Modern Masterpieces,1,,http://www.michaelclarkcompany.com,Dance,,London,London,London,City of London
Modern Poetry in Translation,1,,http://www.mptmagazine.com,Literature,,South East,South East,South East,Oxford
More Music,1,More Music in Morecambe,http://www.moremusic.org.uk,Music,,North,North West,North West,Lancaster
Motionhouse,2,,http://motionhouse.co.uk,Dance,,Midlands,West Midlands,West Midlands,Warwick
Multistory,1,,http://www.multistory.org.uk,Combined arts,,Midlands,West Midlands,West Midlands,Sandwell
Museum of East Anglian Life,1,,http://www.eastanglianlife.org.uk,Museums,,South East,East,East of England,Mid Suffolk
Museum of English Rural Life and Reading Museum Partnership,1,University of Reading and Reading Borough Council,http://www.reading.ac.uk/TheMERL,Museums,,South East,South East,South East,Reading
Museum of London,SSO,,http://www.museumoflondon.org.uk,Museums,Museum Development,London,London,London,City of London
Museum of London,3,,http://www.museumoflondon.org.uk,Museums,,London,London,London,City of London
Music for Youth,1,,http://www.mfy.org.uk/,Music,,London,London,London,Westminster
Music in the Round,1,,http://www.musicintheround.co.uk,Music,,North,Yorkshire,Yorkshire and The Humber,Sheffield
Musiko Musika,1,,http://www.musikomusika.org,Music,,London,London,London,Hackney
Mytime Active,1,,http://www.artstrain.org,Music,,London,London,London,Bromley
National Association for Gallery Education (engage),SSO,,http://www.engage.org,Visual arts,,National,London,London,Tower Hamlets
National Centre for Circus Arts,2,,http://www.nationalcircus.org.uk,Theatre,,London,London,London,Hackney
National Criminal Justice Arts Alliance,SSO,Clinks,http://www.artsincriminaljustice.org.uk,Combined arts,,National,London,London,Camden
National Horseracing Museum,1,,http://www.palacehousenewmarket.co.uk,Museums,,South East,East,East of England,Forest Heath
National Justice Museum,1,,http://www.galleriesofjustice.org.uk,Museums,,Midlands,East Midlands,East Midlands,Nottingham
National Opera Studio,1,,http://www.nationaloperastudio.org.uk,Music,,London,London,London,Wandsworth
National Rural Touring Forum,1,,http://www.ruraltouring.org,Combined arts,,North,Yorkshire,Yorkshire and The Humber,York
National Student Drama Festival,1,,http://www.nsdf.org.uk,Theatre,,Midlands,East Midlands,East Midlands,Leicester
National Theatre,3,Royal National Theatre,https://www.nationaltheatre.org.uk/,Theatre,,London,London,London,Lambeth
National Youth Choirs of Great Britain,1,,http://www.nycgb.org.uk,Music,"Technical Reduction - Organisation is a National Youth Music Organisation (NYMOs). For 2015-2018, NYMOs were jointly funded by Department of Education and Arts Council England. For 2018-2022, NYMOs will receive their Arts Council England allocation as National Portfolio funding. NYMOs will receive their Department for Education funding via a restricted separate grant.",North,North East,North East,County Durham
National Youth Jazz Collective,1,,http://www.nationalyouthjazz.co.uk,Music,"Technical Reduction - Organisation is a National Youth Music Organisation (NYMOs). For 2015-2018, NYMOs were jointly funded by Department of Education and Arts Council England. For 2018-2022, NYMOs will receive their Arts Council England allocation as National Portfolio funding. NYMOs will receive their Department for Education funding via a restricted separate grant.",London,London,London,Islington
National Youth Jazz Orchestra,1,,http://www.nyjo.org.uk,Music,,London,London,London,Westminster
National Youth Orchestra of Great Britain,1,,http://www.nyo.org.uk,Music,"Technical Reduction - Organisation is a National Youth Music Organisation (NYMOs). For 2015-2018, NYMOs were jointly funded by Department of Education and Arts Council England. For 2018-2022, NYMOs will receive their Arts Council England allocation as National Portfolio funding. NYMOs will receive their Department for Education funding via a restricted separate grant.",London,London,London,Westminster
National Youth Theatre of Great Britain,2,,http://www.nyt.org.uk,Theatre,,London,London,London,Camden
New Art Exchange Ltd,2,,http://www.nae.org.uk,Visual arts,,Midlands,East Midlands,East Midlands,Nottingham
New Contemporaries (1988) Ltd,1,,http://www.newcontemporaries.org.uk,Visual arts,,London,London,London,Tower Hamlets
New International Encounter,1,,http://www.nie-theatre.com,Theatre,,South East,East,East of England,Cambridge
New Perspectives Theatre Company,2,,http://www.newperspectives.co.uk,Theatre,,Midlands,East Midlands,East Midlands,Nottingham
New Wolsey Theatre Company Ltd,2,,http://www.wolseytheatre.co.uk,Theatre,,South East,East,East of England,Ipswich
New Writing North,2,,http://www.newwritingnorth.com,Literature,Technical Uplift - transfer in of the David Cohen award prize funding to New Writing North. Award previously  delivered by another National Portfolio organisation.,North,North East,North East,Newcastle upon Tyne
New Writing South,1,,http://www.newwritingsouth.com,Literature,,South East,South East,South East,Brighton and Hove
Newhampton Arts Centre,1,,http://www.newhamptonarts.co.uk,Combined arts,,Midlands,West Midlands,West Midlands,Wolverhampton
Newlyn Art Gallery Ltd,2,,http://www.newlynartgallery.co.uk,Visual arts,,South West,South West,South West,Cornwall
Nine Arches Press,1,,http://www.ninearchespress.com,Literature,,Midlands,West Midlands,West Midlands,Rugby
NMC Recordings Ltd.,1,,http://www.nmcrec.co.uk,Music,,London,London,London,Westminster
NN Contemporary Art,1,Northampton Arts Collective Ltd,http://www.nncontemporaryart.org,Visual arts,,Midlands,East Midlands,East Midlands,Northampton
no.w.here arts limited,1,,http://www.no-w-here.org.uk,Visual arts,,London,London,London,Tower Hamlets
NoFit State Community Circus Ltd,1,,http://www.nofitstate.org,Theatre,,Midlands,West Midlands,WALES,Cardiff
Norfolk and Norwich Festival Trust,SSO,,http://www.nnfestival.org.uk/,Not discipline specific,Bridge Organisation,South East,East,East of England,Norwich
Norfolk and Norwich Festival Trust,2,,http://www.nnfestival.org.uk/,Combined arts,,South East,East,East of England,Norwich
Norfolk Museums Service,SSO,,http://www.museums.norfolk.gov.uk,Museums,Museum Development,South East,East,East of England,Norwich
Norfolk Museums Service,3,,http://www.museums.norfolk.gov.uk,Museums,,South East,East,East of England,Norwich
North East Theatre Trust Ltd,2,,http://www.live.org.uk,Theatre,,North,North East,North East,Newcastle upon Tyne
North Kesteven District Council,1,,http://www.n-kesteven.gov.uk,Combined arts,,Midlands,East Midlands,East Midlands,North Kesteven
North Lincolnshire Council 20-21 Visual Arts Centre,1,North Lincolnshire Council,http://www.2021visualartscentre.co.uk,Visual arts,,North,Yorkshire,Yorkshire and The Humber,North Lincolnshire
North Music Trust,3,,http://www.sagegateshead.com,Music,,North,North East,North East,Gateshead
Northampton Theatres Trust,2,,http://www.royalandderngate.co.uk,Theatre,,Midlands,East Midlands,East Midlands,Northampton
Northern Ballet Limited,3,,http://northerballet.com,Dance,,North,Yorkshire,Yorkshire and The Humber,Leeds
Northern Broadsides Theatre Company,2,,http://northern-broadsides.co.uk,Theatre,,North,Yorkshire,Yorkshire and The Humber,Calderdale
Northern Print,1,Northern Print Studio Ltd,http://northernprint.org.uk,Visual arts,,North,North East,North East,Newcastle upon Tyne
Northern School of Contemporary Dance,1,,http://www.nscd.ac.uk,Dance,,North,Yorkshire,Yorkshire and The Humber,Leeds
Northern Stage (Theatrical Productions) Ltd,3,,http://www.northernstage.co.uk,Theatre,,North,North East,North East,Newcastle upon Tyne
